document_id,clean_text,sentiment
13,"""Babylon"" tracks the career of Manny Torres, an aspiring filmmaker from Mexico who crosses paths with fellow aspiring starlet Nelly LaRoy at a bacchanalian party one night in 1920s Los Angeles. The film also follows several other characters at the same party, including movie star Jack Conrad, cabaret performer Fay Zhu, tabloid journalist Elinor St. John, and musician Sidney Palmer, as each rise and fall in their respective careers spanning the end of silent films and the beginning of sound productions; each of the characters cross paths throughout as they navigate the shifting business of Hollywood.This large-scale epic from Damien Chazelle is, in a word, ambitious, both in scope and mere technicality. It opens with an utterly ravishing, debaucherous party sequence that captures the maddening spirit of roaring twenties Hollywood, setting a visual bar that is fairly high. While there are a number of fantastic sequences throughout the film, this key party sequence where each of the characters are introduced/first intervene is, without a doubt, the highlight of the film. While its characters are fictional, the screenplay blends them in with passing names of real-life historical Hollywood figures, as well as thinly-veiled references to others.Firstly, it almost goes without saying that ""Babylon"" is gorgeously photographed. The performances are also uniformly solid. Diego Calva is a likable presence as the centerpiece character, while Margot Robbie's portrayal of the brash and troubled Jersey girl flying by the seat of her pants is comical and poignant by turns. Brad Pitt fittingly plays the drunken but goodhearted movie star, and Jean Smart is also a welcome presence as the curt and astute gossip columnist, ostensibly based on Louella Parsons (or a writer of her ilk).The film is consciously over the top, at many points capturing the madcap spirit of something the late Ken Russell would have directed. Its first three quarters are particularly outstanding, and demonstrate the realities (and technicalities) of how the transition from silent films to motion picture talkies posed legitimate, career-altering (or more often, career-destroying) challenges for nearly everyone who was part of the business. Chazelle projects this theme to the audience in one memorable and protracted sequence in which Robbie's character (along with the sound man) struggles, fails, is interrupted, and struggles again to perform a simple one-page scene. The nuts and bolts of these logistical challenges in a then-fledgling industry are perhaps the most intriguing components of the story, highlighting just how vastly different (and more arduous) the process was of making a sound picture for the actors and filmmakers accustomed to the established ways.By the time it reaches its final act, however, the viewer does get the sense that the project is beginning to implode under its own weight to some degree; the focus on certain characters ebbs and flows, and the film begins to lose some steam. It is revived somewhat by an insane sequence in which Torres and another crew member of his film studio (in an attempt to save LaRoy from reckless gambling decisions) cross paths with an eccentric crime boss played by Tobey Maguire, and journey into a subterranean gathering place for the city's debaucherous denizens, who have literally gone underground following the more reserved moral code of the 1930s. The garish and ghoulish sequence feels like a tour of Dante's Inferno (probably quite intentionally), and is almost more madcap than the opening party sequence.The film grinds to a somewhat abrupt halt as each of the characters' lives and careers face further significant devastation in the last thirty minutes, and the sense of tragedy that one might expect to feel is strangely absent, perhaps because these characters are in and of themselves larger than life, even cartoonish at times; still, I felt that there was an emotional core missing as their stories are resolved. The film ends on a profoundly cynical note, showing Hollywood as a place that metaphorically devours its own, only to be constantly replenished by the unending stream of those who make pilgrimage there, seeking to etch their mark in the tapestry of cinema. The observation is astute, and the implications are splashed across the screen in a century-spanning montage of snippets from the earliest films to contemporary ones.All in all, ""Babylon"" has many strong points: Mainly its visuals, sturdy performances, and focus on the industrial realities of early filmmaking that most 21st-century viewers would take for granted. It eventually grows a bit long in the tooth into its third hour, and loses some tenacity, but not enough so that the film entirely collapses in on itself (though it comes close). If nothing else, it earns its keep as an ambitious and scabrous love (and hate) letter to cinema. 8/10.",positive
14,"I've seen all four of Damien Chazelle's movies; none has struck me as especially satisfying. This one, all three joyless hours of it, gave me barely a moment of pleasure. It's a perfect example of -- in a phrase often used by Esquire -- ""wretched excess.""It purports to be, in part, that rather trite creation, ""a love letter to the movies,"" but spends most of its time trashing Hollywood as a pit of debauchery -- a slander that never feels remotely authentic (even though I was raised on Kenneth Anger's ""Hollywood Babylon""). The film titillates us with pulp-magazine fantasies of subterranean caverns outside the city where, by torchlight, jaded Angelenos gaze at torture, rat-swallowing, and other depraved acts. Its cast of characters -- the overprivileged fading film star, the shallow, wildly hedonistic sexpot heroine, the loyal, upright Mexican immigrant, the cynical gossip columnist, the passel of ludicrously snooty L. A. millionaires and their catty wives -- all felt like old cartoons. Even the crowd at the protracted orgy that opens the movie felt choreographed and utterly fake: frenetically cheering, dancing, and gesticulating at times in a caricature of Hieronymus Bosch, the next moment transformed into a sedate, respectful nightclub audience as silent as a library.I did appreciate the music in this film, as well as the decor, the hundreds of extras, and the constantly moving camera. But ultimately I think Chezelle was provided with way too large a budget and simply squandered it.",positive
15,I can see why the reviews are polarized and why people hate the film. It's a frustrating film at times mainly cause there is so much going on. Right off the bat it's crazy flash and busy tho I enjoyed it at first at the film progressed it gets more busy and busy and then the ending is so busy and goes on and on and on and it doesn't know when to end. That's the main fault of the film is that less is more and that would of helped the film. There is also much characters that the supporting characters don't get enough screen time and story that they seem pointless at times or lost. The acting is amazing especially Margot Robbie who deserves all the praise for the film. I get what the film was aiming at but it just lands where you hate or love it at times. It's frustrating and at times gives you a headache. I overall enjoyed the film at times and thought it was ok though I would not recommended the film.,positive
16,"Greetings again from the darkness. It's 1926 and a movie mogul is planning yet another massive debauchery-filled industry party at his palace of a home in still-developing Bel-Air, California. Lest we have any doubt that this party is over-the-top, we are forced to witness the handlers of the main attraction - a circus elephant - get sprayed from the wrong end as they push the colossal beast up the hill. Once the party starts, things get even crazier. Orgies, drugs, nudity, wild dancing, and a golden shower and drug overdose in the room of a Fatty Arbuckle type ... yes, this opening party sequence lasts 20-30 minutes, and occurs before the opening credits. The only touch of class is the old school Paramount logo.Writer-director Damien Chazelle (Oscar winner, LA LA LAND, 2016) sets the stage for his wild and frenzied epic meant (I think) as a tribute to early Hollywood and the uneasy transition from silent films to talkies. Of course, that topic has been handled in other prestige films - recently with THE ARTIST (2011), as well as the classic SINGIN' IN THE RAIN (1952). It's the latter which serves as a template or guidepost for Chazelle, to such an extent that he shows clips from it, quotes it, and even has a couple of his characters share similarities with Lina Lamont and Don Lockwood.From the moment she crashes onto the party scene, this becomes Margot Robbie's movie. Fully engaged doesn't begin to describe how she embodies the Nellie LaRoy character. Nellie is a displaced Jersey girl desperate to break into showbiz, and she pursues stardom with everything she has to offer. Nellie is a risk-taker and literal gambler, and the character is supposedly inspired by the infamous Clara Bow. It's at that first wild party where she meets both Jack Conrad (Oscar winner Brad Pitt) and Manny Torres (Diego Calva). Conrad is a huge silent movie star, and also a boozing womanizer with the accompanying swagger (supposedly based on actor John Gilbert). Manny, though a much quieter soul, is much like Nellie in that his ambition is to work in the movie business. The two discuss their dreams while tearing into mounds of cocaine.Nellie's fearlessness in front of the camera (much like Ms. Robbie's) pays off as the offers roll in and she makes her name. She and Manny periodically cross paths as he climbs the ladder towards studio executive. We also keep up with Jack Conrad and his stream of wives, and how things begin to change with THE JAZZ SINGER and the advent of talking motion pictures. While all this is happening, the film also (sorta) follows the career of jazz trumpeter Sidney Powell (Jovan Adepo) as he builds a career as a black performer on screen. One of the more interesting characters who we wish had more screen time is Lady Fay (played by Li Jun Li). We are rarely treated to a Chinese lesbian chanteuse, and she makes each of her scenes quite fascinating.Others in the cast include Olivia Wilde as one of Jack Conrad's many wives, Lukas Haas as an industry guy, Eric Roberts as Nellie's hustler dad, Pat Skipper as William Randolph Hearst, and Max Minghella as the legendary Irving Thalberg. They are each fine, but none as memorable as Tobey Maguire (also a producer on the film), who has a funny/creepy cameo as a fictional giggling gangster named James McKay. However, it's Jean Smart as Elinor St John, a gossip columnist in the mold of Hedda Hopper and Louella Parsons, who has the film's best scene when she deals the hard truth to Jack Conrad. Ms. Smart seems to excel in every role she takes these days, and this may be one of her best, albeit with limited screen time.The issues with the film have nothing to do with its entertainment value and outrageous moments or with the performances. Each of those things keep us watching. It's only when we stop and think about it when the problems come into focus. Most blatant is the love story between Manny and Nellie. They actually spend very little time together after their cocaine feast. Certainly not enough to fall in love. There is a 'blackface' scene unlike anything you've seen before, and in 3 hours and 8 minutes director Chazelle follows up the projectile elephant poop with vomit from a drug overdose, vomit from something other than a drug overdose, a urine stream, and rattlesnake venom. At times it seems like he wanted to see just how much he could get away with.Chazelle collaborators from LA LA LAND include cinematographer Linus Sandgren composer Justin Hurwitz, and Film Editor Tom Cross, all three are Oscar winners from that film, and all provide superb work here. The technical aspects of the film are terrific, it's as a story (or stories) where things unravel. It's simply bloated and overly ambitious, while having some of the frenetic pacing of Baz Luhrman's MOULIN ROUGE! Or THE GREAT GATSBY. It appears filmmaker Chazelle is attempting to reinforce cinema is art as a spectacle, when most of us don't require more proof. The movie montage at the end is fun to watch, but strikes this viewer as a bit indulgent after a long movie. Buckle up for a wild ride and enjoy to good stuff.Opens in theaters on December 23, 2022.",positive
17,"Given that ""Whiplash"" and ""La La Land"" were outstanding films, it seemed reasonable to hope-and expect-that director Damien Chazelle's new film would deliver. It seemed to be a unique spectacle of excess and debauchery in 1920s Hollywood that would combine flashiness with, hopefully and given Chazelle's previous track record, a compelling story and profound character development. Tragically, however, ""Babylon"" is a bloated misfire that ends up being unique for all the wrong reasons.Right off the bat, Chazelle brings the viewer along for a ride that ends up being a fusillade of pulse-pounding jazz music, a whirlwind of hedonism, and increasingly sophomoric and eye-rolling moments. This would have all been fine if he had a more coherent story or contextual justification for his indulgence, but alas, he doesn't. After all, some exceptionally well-directed films such as Scorsese's ""Goodfellas"" (or even ""The Wolf of Wall Street"") or Paul Thomas Anderson's ""Boogie Nights"" completely wrap themselves around a crackerjack, virtuoso sense of intensity while simultaneously complementing their own narratives. Unfortunately, ""Babylon"" does not do the same. The debauchery starts to get increasingly tiring after a while when the characters doing it are thinly written (especially by Chazelle standards) and uninteresting, in contrast to better films about excess that keep the viewer wholly engaged over a long runtime. The film's plot is pretty loose and unengaging for a gargantuan 189-minute runtime, which does not help matters much either. The performances are fine but unexceptional, yet even the more talented actors in the cast can't elevate the disappointing and sometimes-pointless screenwriting they've been given to work with. The result is a movie that feels far less satisfying and impactful than it should have, especially since its many moving parts don't really add up to anything. Even the film's message about the ""magic of cinema"" comes off as a bit hollow given that many far better films have dealt with that topic.I hope Chazelle's next film will be stronger than this one, and something I will be eagerly awaiting. Given some of his previous works, he is certainly and clearly qualified of making great films. Unfortunately, ""Babylon"" isn't one of them. 4/10.",positive
18,"Basically a camera moves through crouds of people being soulless, and/or hangs on one or two people being soulless. Then the movie ends.There's no point to the story and you don't care about what happens to any of the actors because the performances aren't real.The sad & serious characters are too lost and detached (no self preservation) to follow what they mean and what their story is.The electric/cocaine fueled characters are too maniacal (no self preservation) to follow what they mean either - you don't care if they run into a wall and you never see them again.The only reason I can think of why the film is made at all, is because everyone hypnotised each other with shock & awe.",negative
19,"Babylon is cinematic marvel that Damien Chazelle is a messy, dazzling epic masterpiece that film hasn't yet accepted or had before. Damien Chazelle has called Babylon: ""A hate letter to Hollywood and a love letter to movies,"" but his messy, dazzling epic doesn't support that simplistic idea. Set in the early days of cinema, when talking pictures were a jaw-dropping phenomenon and Hollywood was still being created, Babylon suggests a deeper reality: the film industry's raw, self-destructive, narcissistic impulses and its glorious, magical results have always been opposite parts of the same whole. Chazelle's ambitions are huge. Babylon is full of remarkable set pieces with richly drawn characters, music, dancing, love and betrayal. The film's strengths more than make up for its serious flaws, including too many endings and a wrong-headed reliance on Singin' in the Rain as a touchstone. But if Babylon makes you groan occasionally, there are many more times long, exhilarating stretches that are mesmerising. In one of the film's multiple endings, which leaps ahead to 1952, a major character sits in a cinema tearfully watching Singin' in the Rain. That enamoured-of-movies scene hasn't been fresh since Sullivan's Travels in 1941, not to mention Cinema Paradiso in 1988 and this year's Empire of Light. The fact that the scene can be viewed as a homage to all those films doesn't make it less cliched. And a montage of other movies through history is a bravura but needless coda. At its best, Chazelle's film is a cinematic marvel, evidence enough that movies are magical, as it sweeps us into the beautiful, terrible world we recognise as Hollywood even now. The cast up and down Babylon is amazing and almost eerily in sync with my own tastes. Actors I deeply love, like Taylor Nichols and Ethan Suplee, show up oh-so-briefly as if casting director Francine Maisler had thumbed through my own mental rolodex and said to herself ""ah, here's another face Sonny would like to see."" This is, perhaps, another reason I found myself drawn in by Babylon's excess: I just liked spending time with almost everyone up on that big, beautiful screen, I fell in love with the cast and the story. Believing Babylon to be over, thus missing the last few of its 189 minutes. This was itself a fitting, almost serendipitous, way to end the movie. Audiences come and go; they are as ephemeral and ever-changing as the names on the marquee. The darkened theater filled with flickering light? That's eternal, everlasting, deathless. The actors and the audiences alike come and go, but the show goes on forever.",positive
20,Oh my God I could not make it through 1/3 of this movie. After 20 minutes I felt like I have been watching for an hour and a half only to be disappointed that I had two hours plus to watch. The insanity of this is made up Hollywood world is just way too much to take and way too much to be enjoyable for someone trying to watch a movie. You can only fill a movie with so many stars and have it have no plot and so much spasmatic energy that it becomes just unwatchable. Maybe it's because I'm in my 40s and I don't care to hear so much blaring screaming and absolute chaos just to make a film seem like it's an art. Skip this.,positive
21,"This movie should never have been made. From the perspective of an historian who likes movies, this was boring and stupid. I typically enjoy Brad Pitt, Margot Robbie and Olivia Wilde's work, but this movie was really bad. The writing was atrocious, the ""plot"" was boring and the story was obnoxious. While the movie was way too long, even as a 10 minute short it would have been horrid. There was nothing even close to a story that required such a long run time. It was just a series of county fair side-show scenes strung together with no coherence or purpose. There was nothing about this movie that I liked.",negative
22,"This movie works on the premise that anything said loudly is more cogent than something said quietly. As such this movie is a thrill ride that is surprisingly un-cinematic. It is very acutely visual but it purposefully ignores any kind of meaning or emotional connection. It delivers on the shock value of images to the point where it completely abuses it. And withholds most of the emotion. It's almost a parody of a bad movie. It does and shows everything a good movie shouldn't. Unfortunately it is played straight and therefore cannot be qualified as such. It ambitions to have a grand message.It wants to be an homage to pre-golden age cinema and also a critique of something. A reverence to the wholesomeness of early cinema and simultaneously a shining light on the excesses. Yet, Babylon is itself oblivious to basic screenwriting and movie making technique. The argument becomes almost moot.Basic screenwriting suggests that a film should have a beginning, a middle and an end. It should have a recognizable protagonist, the more relatable the protagonist the better. You can have multiple protagonists/heroes, but it's more tricky and you're essentially diluting the emotional core. Traditional technique would be to divide the story in separate acts, basically doing one thing at a time, so the audience can understand what happens at any given moment. You need to know what a character is doing and why, and also sort-of anticipate what will follow. You can adjust the pace to what is happening in the acts to give thing more meaning or emphasis.For instance, you wouldn't include an interminable manic sequence, without any connection with the rest of the story, where a snake runs loose and bites a whole party in the middle of the desert. With pacing, it is also important to have loud moments followed by quiet moments. When you keep the intensity of the film to a high throughout it is exhausting. You need quiet beats as much as loud ones not only for that reason but also to absorb the louder moment and emotional rushes. If you represented emotional intensity graphically it should be sinusoidal waved curves not a straight line.More than anything, this film is the story of Damien Chazelle, the fall from grace of a Hollywood wunderkind. It's a tale as old as time really, he broke out with Whiplash, a sports movie disguised as a film about jazz. Then came LaLa Land, which is kind of a simple movie, the plot is subpar and it's rather manipulative emotionally, but it charms you and it works because it's a musical. He is a smart man, with a sense of rhythm and pacing, with a reverence to jazz. He's got a style, a pattern, a signature. Thoses were commercial and critical successes. Hollywood says: We trust you: make whatever you want. You'll have all the resources, access to any and every actors/talent. Go nuts. Looks like Mr. Chazelle took that quite literally.",positive
23,"Far too long, for the reward that it withholds, although it's fearless and adventurous, quite daring and quite bold, overflowing with depravity, full of wicked immorality, indulgence and degeneracy, quite an orgy that unfolds.The Roaring Twenties, and roaring doesn't quite capture the excesses presented here with a film that paints quite a colourful picture of the world of silent movies and their transition to the planet of sound. Margot Robbie smashes it out of the park, as well as producing voluminous amounts of vomit, however, take away the spectacle, and you're left with an often told tale you've seen many times before, and an eager anticipation to watch Singin' in the Rain for the nth time, a revisit your unlikely to make quite as often with this, as once is more than enough.",positive
24,"SCORE: 2.0/10My brain hurts. Wow that was awful. I wouldn't even make my worst enemy have to sit and watch that for 3+ hours. Did some of the people who reviewed this take some of that stuff they kept showing throughout the film? That was a complete mess.It was just unorganized chaos. The only bright spot, if there was one, was Margot Robbie. I am in love with that woman. She was a part of some of the films best scenes, but there weren't many of those. No matter how amazing she was, I couldn't get over how terrible what I was watching was, with a plot that was all over the place and consistently boring. This movie had no business being over 3 hrs long. I don't even have the energy to write more about this film.",negative
25,"This is definitely one of the worst movies I've ever seen. It is total garbage with juvenile dialog. It is so far from reality of what took place in the 20s it is absolutely ridiculous and really designed for people who like juvenile movies that make little sense. The opening sequence is like a bad movie comedy, and it only went downhill from there. It always fascinates me when a company spends so much money and creates nothing more than an expensive bomb. Not ""The Bomb"" but ""A Bomb"" as in a terrible movie that one should avoid. The whole premise of the movie is people behaving badly. Not worth watching!",negative
